policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
mars_timebudget,0,21,s21_t11,Advanced Learner,58.0,41.5,82.36523485082633,71.95654356353292,16.5,0.8435095203389398,1.178880775413458,2951.9524557345435,0.0,0,0.5952380952380952,42,21,17,25,0,True,0.25
dkt_timebudget,0,21,s21_t11,Advanced Learner,96.0,73.0,94.71537789276668,71.39422236595834,23.0,1.232854863913164,1.6212885881597774,3552.729626338648,0.0,0,0.54,50,22,17,27,6,True,0.25
gkt_timebudget,0,21,s21_t11,Advanced Learner,112.0,93.0,98.08172860315868,75.60216075394834,19.0,1.5706233197797843,1.8915033528530736,3552.7296263386484,0.0,0,0.58,50,22,17,27,6,True,0.25
bkt_timebudget,0,21,s21_t11,Advanced Learner,100.0,78.0,99.61904540686687,77.5238067585836,22.0,1.3172969778798194,1.6888422793331015,3552.7296263386474,0.0,0,0.54,50,22,17,27,6,True,0.25
mars_timebudget,0,21,s21_t19,Advanced Learner,116.0,105.5,111.60206274085738,100.00257842607172,10.5,1.8532228975378569,2.0376668826008664,3415.6711577489523,0.0,0,0.8163265306122449,49,23,21,27,1,True,0.25
dkt_timebudget,0,21,s21_t19,Advanced Learner,82.0,61.0,85.0468433829064,64.808554228633,21.0,1.0526445911107505,1.415030433952156,3476.9570194038324,0.0,0,0.5,50,24,21,27,2,True,0.25
gkt_timebudget,0,21,s21_t19,Advanced Learner,64.0,38.5,84.70448538978049,64.3806067372256,25.5,0.6643740452092439,1.104413997230951,3476.9570194038324,0.0,0,0.4,50,24,21,27,2,True,0.25
bkt_timebudget,0,21,s21_t19,Advanced Learner,78.0,57.0,87.69590895474468,69.11988619343086,21.0,0.997769355162854,1.3653685912754847,3427.645860542383,0.0,0,0.4897959183673469,49,23,21,26,2,True,0.25
mars_timebudget,0,27,s27_t20,High Achiever,138.0,133.0,126.4992524608206,118.62406557602574,5.0,2.2905794824980044,2.37669149311823,3483.8345759114923,0.0,0,0.9,50,26,18,31,1,True,0.25
dkt_timebudget,0,27,s27_t20,High Achiever,94.0,67.5,103.82075834274292,79.77594792842865,26.5,1.163149952352135,1.61979400772001,3481.9242280928997,0.0,0,0.5,50,24,12,30,8,True,0.25
gkt_timebudget,0,27,s27_t20,High Achiever,90.0,62.5,103.72949290275574,79.66186612844467,27.5,1.0769478934396006,1.5508049665530248,3482.062616811567,0.0,0,0.46,50,24,12,30,8,True,0.25
bkt_timebudget,0,27,s27_t20,High Achiever,102.0,78.5,107.90093932746322,85.87617415932903,23.5,1.3466683989713997,1.7498111680902264,3497.5202533879537,0.0,0,0.52,50,24,13,29,8,True,0.25
mars_timebudget,0,35,s35_t4,High Achiever,154.0,150.5,132.17141080930767,123.2142635116346,3.5,2.7005571756954154,2.763360830944146,3343.754422705271,0.0,0,0.94,50,27,17,31,2,True,0.25
dkt_timebudget,0,35,s35_t4,High Achiever,96.0,70.5,101.1288850604844,76.91110632560552,25.5,1.278685963026262,1.7411893964612932,3308.083550075792,0.0,0,0.48,50,25,13,30,7,True,0.25
